Date,Close,High,Low,Open,Volume
2012-01-01,12.633822441101074,12.644290647461208,12.233033978506255,12.244998099302382,1151805200
2012-01-08,12.55635929107666,12.793842359901525,12.52196363266406,12.726546159236367,1305914400
2012-01-15,12.571015357971191,12.902114912442292,12.55456508630268,12.68766317453328,1195401200
2012-01-22,13.377979278564453,13.592430238684761,12.548585044846645,12.641902827980234,2435708800
2012-01-29,13.748860359191895,13.758431660992455,13.321451896577914,13.331022399705093,1514466800
2012-02-05,14.758010864257812,14.883631001721511,13.704594252042842,13.709977310461934,2489043200
2012-02-12,15.018218994140625,15.741133099551186,14.55491835072985,14.940752501803281,3964091600
2012-02-19,15.625091552734375,15.639747209716083,15.078044996021632,15.160595879162193,2071997200
2012-02-26,16.306133270263672,16.396760330699784,15.441745095482256,15.592189593862736,3214962800
2012-03-04,16.305830001831055,16.382697496569104,15.439945355616898,16.31330717948096,3353260400
2012-03-11,17.51418685913086,17.946082347884968,16.36057163462844,16.419793276690104,4502187200
2012-03-18,17.827638626098633,18.234409396593147,17.618271176813497,17.89702897159115,3416299600
2012-03-25,17.93231773376465,18.587338402470994,17.804006087218603,17.939494611415423,3197608400
2012-04-01,18.953140258789062,18.98245157613158,17.957148084878302,18.00051765311627,2647190000
2012-04-08,18.102203369140625,19.26180021798919,18.05075922942613,18.727315317610763,3657858400
2012-04-15,17.137622833251953,18.55145209788697,17.061054012165922,18.246671930191145,4896550400
2012-04-22,18.03550148010254,18.48414650281061,16.599840282659827,17.06673019337395,3891246800
2012-04-29,16.90641212463379,17.897916723812582,16.90401930034978,17.879970541682518,2465075200
2012-05-06,16.950090408325195,17.2243612656041,16.711411635341875,16.79426122856326,2170820400
2012-05-13,15.8634672164917,16.97401109756508,15.618209057770377,16.826258155852027,2839370800
2012-05-20,16.817882537841797,17.24289964898231,15.97323456728026,15.986695404540079,2735611200
2012-05-27,16.779003143310547,17.39244973056528,16.764946493192873,17.075408376547557,1922600400
2012-06-03,17.35715675354004,17.364934234333813,16.405433664786138,16.794258186729,2073948800
2012-06-10,17.172012329101562,17.601813485252748,16.949784723675428,17.578484242947386,2001053600
2012-06-17,17.4103946685791,17.64668055069163,17.059555082972214,17.077202566988188,1771582400
2012-06-24,17.467226028442383,17.467226028442383,16.917187670782543,17.26683089518877,1488253200
2012-07-01,18.121646881103516,18.374682562816837,17.455261016548192,17.489059274166856,1545118400
2012-07-08,18.09443473815918,18.540088186453964,17.726845239425014,18.104304745818837,2100154000
2012-07-15,18.07439613342285,18.40489683220332,18.039998861001855,18.098921800774573,1681918000
2012-07-22,17.501916885375977,18.235301747460863,17.048487745963868,17.778281773334246,2740990000
2012-07-29,18.415361404418945,18.483555330307627,17.58147933145961,17.674200516132625,1903050800
2012-08-05,18.594816207885742,18.6935178464042,18.402198581008264,18.46291372204962,1253837200
2012-08-12,19.46795654296875,19.470359641468796,18.721210528228283,18.725416752705662,1573639200
2012-08-19,19.921833038330078,20.272077462614924,19.4679585897957,19.52503138306999,2848896400
2012-08-26,19.982511520385742,20.452006135263098,19.74250643152373,20.425572047606735,1538252800
2012-09-02,20.439088821411133,20.500366233013494,19.960281840915915,19.9981298426944,1425130000
2012-09-09,20.76470375061035,20.935920544971644,19.704961147729673,20.43939184132389,2903048400
2012-09-16,21.029338836669922,21.17892774433383,20.8349926095587,21.00711097221609,2006566800
2012-09-23,20.03837776184082,20.880042881009313,19.83562075623183,20.631928598564244,2864260000
2012-09-30,19.60253143310547,20.328251307726593,19.54425708295872,20.16033756814034,2560600000
2012-10-07,18.915258407592773,19.451438177723794,18.73022461921032,19.43101183865273,2993043200
2012-10-14,18.318401336669922,19.6085347768933,18.3117920136318,18.99455754233473,2592021600
2012-10-21,18.142982482910156,19.085576436012726,17.75248850940494,18.395903045219615,3487162000
2012-10-28,17.325950622558594,18.112946434101318,17.264373205024626,17.869038259186187,1470674800
2012-11-04,16.432607650756836,17.744668594092982,16.031899908273243,17.527794628321885,3683761200
2012-11-11,15.922880172729492,16.732180572501846,15.261136534011863,16.721618587726855,3582726000
2012-11-18,17.245147705078125,17.260236475267433,16.29100820214276,16.316053014437117,2111900000
2012-11-25,17.660968780517578,17.931640099694746,17.268086924901155,17.377925729445582,2590792400
2012-12-02,16.09095001220703,17.941899217672592,15.649786692070148,17.913534643647267,3930239600
2012-12-09,15.383039474487305,16.58311038535867,15.256002396795916,15.842005436222493,3344812800
2012-12-16,15.670904159545898,16.140731603973197,15.124732031687111,15.3570810018494,2910619600
2012-12-23,15.376999855041504,15.819368519895168,15.228236144066823,15.701686420125625,1287588400
2012-12-30,15.902349472045898,16.74725609759317,15.35919567320308,15.405362827531768,2167309200
2013-01-06,15.700183868408203,16.04991376568401,15.54628898335196,15.751480551894687,2302120800
2013-01-13,15.087617874145508,15.412001418321458,14.586104467560011,15.168486131379103,3228386000
2013-01-20,13.273487091064453,15.539949695538779,13.126231744926738,15.225222334583417,3991934800
2013-01-27,13.68809700012207,13.95907131165602,13.152185176824647,13.21163057232209,2632649600
2013-02-03,14.332636833190918,14.448207837396689,13.337457115715939,13.696844020302528,2981910400
2013-02-10,13.966370582580566,14.718471469337684,13.959086147651124,14.462307037092621,2348771600
