Date,ret-1w,vol-1w,mom-8w,vol-zscore,target
2012-02-26,0.042663256308319936,0.027336742770499023,0.25516377296334136,0.9741066015899554,0
2012-03-04,-1.8598600157644038e-05,0.026179084200697863,0.26129545902763107,0.8723515490183966,1
2012-03-11,0.07148851748397347,0.025897621818635128,0.33161743454203907,1.5613448321032823,1
2012-03-18,0.01773875468728695,0.025575401421860718,0.2871399670834935,0.3549815912912161,1
2012-03-25,0.005854560090048587,0.027646252427720855,0.2656486072400354,-0.1028997758096906,1
2012-04-01,0.0553650857146627,0.025059258470689492,0.25018358586795136,-0.8742912992937896,0
2012-04-08,-0.045935966699834185,0.03715607010435295,0.18676960028238315,0.5637638226015997,0
2012-04-15,-0.05475745158897465,0.0453341688064472,0.09239815739532546,1.7428516785224035,1
2012-04-22,0.05106590753189347,0.046246171365553645,0.1008008086188989,0.2704691371968955,0
2012-04-29,-0.06464915427960609,0.053794630431100075,0.036170252939450476,-1.3278526527066823,1
2012-05-06,0.002580202008817803,0.04657198492697606,-0.03273806253570527,-1.271765394130704,0
2012-05-13,-0.06625436142018787,0.05026831867020682,-0.11673117864318007,-0.42645903505533994,1
2012-05-20,0.05842395085783415,0.05638653375712558,-0.06416178787539463,-0.4692679158495211,0
2012-05-27,-0.0023144652308446675,0.050504710182501425,-0.12184133882090212,-1.1487862306186556,1
2012-06-03,0.03387662249691361,0.05144685854051852,-0.04202874962415446,-0.7810159065008204,0
2012-06-10,-0.010724046001358206,0.04760609366399725,0.0020046559634619007,-0.7840167144652869,1
2012-06-17,0.01378655425811527,0.04357536581400862,-0.035274697310316336,-1.2203242599641415,1
2012-06-24,0.0032589040780548048,0.036144977619166546,0.03263336104734451,-1.388230334614222,1
2012-07-01,0.03678085728767927,0.03792126935113633,0.06683401632620602,-1.0012094785679244,0
2012-07-08,-0.0015027660005590728,0.02412105822079336,0.13158561174583486,0.3722837281695844,0
2012-07-15,-0.0011080594149007281,0.017631260291736766,0.07205360147310003,-0.5955754039245091,0
2012-07-22,-0.03218594730947218,0.02278206254712402,0.04218211939447247,2.01914468257801,1
2012-07-29,0.050874764011868336,0.026344967446188444,0.05918026090942716,-0.002413919238457424,1
2012-08-05,0.009697668124872723,0.025307168321226748,0.0796019750356581,-1.218942690803772,1
2012-08-12,0.045887016365121824,0.028362698258198066,0.11170243714266469,-0.456919655337257,1
2012-08-19,0.023046408179495555,0.02815795692793774,0.13148994124410548,1.550987327452516,1
